"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",2,0,1,1,2,2,0,0,1,3,3,2,1,0,0,0,0,2,2,0,3,1,1,5,2,2,2,1,2,1,2,2,1,1,1,0,2,1,4,1,4,1,1,0,3,1,1,0,1,3,1,2,3,2,5,1,3,0,2,0,1,1,0,2,4,2,0,1,2,2,0,5,0,1,0,2,1,2,3,0,1,1,2,0,0,3,2,3,1,0,2,3,2,1,0,3,3,1,0,4
"2",0,0,0,2,4,4,1,0,0,3,3,1,1,1,0,3,3,2,1,1,2,4,4,1,0,1,1,3,0,2,1,4,0,1,1,0,2,3,2,0,4,0,1,2,0,1,2,0,1,3,1,2,2,1,0,0,2,0,1,1,1,2,5,1,2,2,2,0,4,2,5,3,1,0,0,1,3,1,1,2,3,3,2,0,0,2,1,3,0,2,0,4,1,3,1,0,0,1,2,1
"3",2,5,1,5,1,4,0,3,2,0,5,2,3,0,3,1,7,1,6,8,6,8,5,5,5,3,8,6,3,4,6,4,4,4,2,3,3,4,7,9,3,6,2,5,3,5,4,4,4,9,3,6,3,4,3,4,3,2,7,5,5,5,10,2,3,3,2,2,3,5,3,5,6,6,4,6,7,2,6,4,3,5,8,1,1,3,3,4,5,6,13,6,9,6,1,3,4,4,6,8
"4",1,2,0,2,3,4,4,4,1,3,4,7,6,2,4,2,1,0,3,5,3,4,1,5,3,0,2,1,3,4,4,1,4,4,1,0,4,1,3,2,1,2,2,9,1,1,2,3,3,5,1,2,5,0,6,4,5,0,4,2,1,0,8,1,3,4,4,0,0,1,0,2,3,5,5,4,2,2,5,3,5,1,0,0,2,5,2,0,2,1,3,8,3,3,4,1,4,6,1,3
"5",13,3,4,5,6,5,8,8,9,7,6,11,8,4,8,8,6,2,9,13,8,3,1,4,11,2,8,6,4,11,7,4,12,8,2,5,7,9,6,5,10,9,4,13,3,7,9,6,4,10,6,10,3,4,4,12,3,7,10,4,8,12,14,2,9,6,6,9,12,6,1,7,5,10,5,7,7,5,7,10,4,10,4,2,0,3,7,5,5,11,7,17,9,10,5,5,2,3,3,7
"6",3,0,0,4,3,4,0,1,2,2,1,2,4,2,1,1,2,5,7,3,3,2,2,1,5,1,0,2,2,1,2,3,2,2,0,2,4,2,1,2,4,3,0,3,1,1,0,4,4,1,4,1,1,1,6,2,1,2,6,4,3,3,6,1,5,2,4,0,3,1,1,2,0,0,6,2,3,1,3,2,1,7,4,1,0,1,1,3,0,1,4,7,4,1,3,2,0,4,3,9
"7",4,1,1,3,5,2,4,3,2,2,2,1,3,2,3,0,1,1,1,2,2,3,3,4,3,1,1,2,7,7,2,2,1,10,0,4,10,2,0,4,2,3,2,2,3,4,4,5,4,0,3,2,4,2,5,1,4,0,1,3,2,2,7,1,5,2,3,1,1,5,0,1,2,4,2,2,3,2,3,5,4,1,1,3,2,4,2,2,1,0,2,5,5,5,4,0,2,1,3,11
"8",4,1,0,2,4,2,0,2,0,2,3,1,4,3,2,2,4,2,3,3,1,2,1,2,2,0,2,1,3,3,1,4,2,2,2,0,1,5,2,2,3,1,1,1,0,2,0,5,0,0,1,3,0,0,2,2,0,0,1,2,3,0,3,0,3,1,2,0,2,0,2,3,1,6,1,1,2,0,1,2,2,2,2,0,1,0,3,2,0,3,1,3,2,0,2,3,2,1,2,8
"9",3,8,1,4,6,7,9,7,13,6,5,7,2,1,7,3,1,2,3,3,3,6,7,2,3,5,6,5,4,6,4,5,6,4,4,2,7,6,6,5,5,2,4,10,0,6,7,5,2,1,9,3,2,4,6,6,2,7,6,0,4,4,15,4,8,6,5,6,6,3,9,6,3,12,10,4,4,1,6,6,3,7,7,2,0,2,9,5,2,1,6,2,2,3,6,7,3,4,2,10
"10",6,2,0,3,5,5,2,0,4,2,3,4,3,1,0,1,2,0,4,0,0,1,1,0,4,1,1,6,1,4,1,3,4,6,5,2,2,1,0,2,2,3,0,6,1,6,1,4,3,4,3,3,1,2,5,4,1,0,3,4,4,2,3,1,4,1,2,2,6,4,6,1,3,6,3,1,2,1,2,1,2,3,4,2,1,1,10,3,1,2,1,5,2,1,2,5,3,3,1,6
